 "41.29228609507841,-96.13565597639122","20 GRAND THEATRE"
 "41.299550096142696,-96.00739949671117","POPEYE'S FAMOUS FRIED CHICKEN"
 "41.211668347439456,-96.12114574697705","POPEYE'S FAMOUS FRIED CHICKEN"
 "41.2866358318019,-96.05227566597324","POPEYE'S FAMOUS FRIED CHICKEN"
 "41.20532812713293,-96.04501813719679","PRAIRIE LIFE CENTER"
 "41.26042099151474,-95.95920237341782","PRAIRIE LIFE CENTER"
 "41.228836404978836,-96.02183361528148","PREMIER SUITES"
 "41.217158653774675,-96.1276883886689","PRIMA DISTRIBUTION"
 "41.24324455115978,-95.9470736046556","PUPUSERIA Y TAQSARITA SARITA"
 "41.24765022183175,-96.02234622883816","QDOBA MEXICAN GRILL"
 "41.27946823522842,-96.10054227928578","QDOBA MEXICAN GRILL"
 "41.23396000753918,-96.13921929914763","QDOBA MEXICAN GRILL"
 "41.21423141522297,-96.07581991670031","QUAIL DISTRIBUTING INC"
 "41.27223768611282,-95.98378330022177","QUIK TRIP"
 "41.30729325881498,-96.07385939467645","QUIK TRIP"
 "41.298749699536586,-96.02392004238942","QUIK TRIP #587"
 "41.217801723679315,-96.04311157449467","QUIK TRIP #588"
 "41.25325299807429,-95.98447577818433","QUIK TRIP #594"
 "41.20969883219533,-96.08143168616317","QUIK TRIP #596"
 "41.285017052149215,-96.04829166938345","QUIK TRIP #597"
 "41.24279388287357,-96.02397400171117","QUIKTRIP CORPORATION"
 "41.20544590245555,-96.08315661600231","QUIZNO'S CLASSIC SUBS"
 "41.26319184990429,-95.92917846964345","QWEST CENTER OMAHA"
 "41.22859358803089,-96.02389306272858","RAMADA OF OMAHA"
 "41.260689999643944,-95.94059000012828","RAMBLIN RON'S MOBILE CAFE"
 "41.28252593012803,-96.05253646936177","RAZZY'S DELI/SAND SHOPPE"
 "41.23342294732822,-96.13386216047138","RED LOBSTER REST #0414"
 "41.256211767550724,-96.02390205594884","RED LOBSTER REST # 115"
 "41.260689999643944,-95.94059000012828","RED LOUNGE"
\"zip\":\"\"}"	 "41.23310649749201", "-96.17847138102486","RED MANGO"
 "41.24865659904577,-96.07422340535392","RED MANGO"
 "41.234610052406936,-96.1960862516786","RED ROBIN GOURMET BURGERS"
 "41.292085723299465,-96.13979768586472","RED ROBIN GOURMET BURGERS"
 "41.25416131332389,-96.07384140823586","REGENCY LAKE & TENNIS CLUB (seasonal)"
 "41.23318193270861,-96.08154955146637","REGIS FOOD MART #3"
 "41.31971289603956,-95.92753970050933","REINHART FOOD SERVICE"
 "41.25715398906937,-95.97193121587681","RENAISSANCE MANSION (THE)"
 "41.20549000509817,-95.96020307661354","RHOTEN WHOLESALE MEAT"
 "41.2906737877135,-95.95657880883545","RHYTHM & BOOZE PACKAGE LIQ"
 "41.27757373840658,-96.10277787706299","RIVERA'S MEXICAN FOOD"
 "41.260689999643944,-95.94059000012828","RIVER CITY STAR"
 "41.25651753704068,-95.93109202252509","ROCK BOTTOM GOLD MEDAL TAP"
 "41.23432746945536,-96.08089513213339","ROCKBROOK FARMERS MARKET"
\"zip\":\"\"}"	 "41.260689999643944", "-95.94059000012828","ROCKY MOUNTAIN CHOCOLATE FACTORY"
 "41.264523028662666,-96.06701102755102","ROCKY MOUNTAIN CHOCOLATE FACTORY"
 "41.23321703326224,-96.17881674610989","ROJA MEXICAN GRILL"
 "41.29739403257371,-96.11974241081712","ROLLING HILLS RANCH"
 "41.234712714482995,-96.1637954007419","ROMA'S PIZZA & SUBS"
 "41.234013810578595,-96.1432035381626","ROMEO'S WEST"
 "41.275556184400955,-96.10053328606551","ROOKIES BAR & GRILL"
 "41.21887191689416,-96.15092229936715","R & S CATERING"
 "41.23746787001396,-96.1774616096195","RUBY TUESDAY #7240"
 "41.25766866923817,-95.95615612748168","RUNZA DRIVE INN"
 "41.20534611357351,-96.08028954718594","RUNZA DRIVE INN"
 "41.306699706275595,-96.05126842530046","RUNZA DRIVE INN"
 "41.24139094050787,-95.99170632729988","RUNZA DRIVE INN"
 "41.289720506362414,-96.08060430989622","RUNZA DRIVE INN"
 "41.24969168283826,-96.02393802883","RUNZA DRIVE INN"
 "41.23589694636763,-96.12103134221519","RUNZA DRIVE INN"
 "41.29076371991641,-96.18274031276383","RUNZA DRIVE INN"
 "41.235716218502944,-96.18931435679798","RUNZA DRIVE INN"
 "41.23334200834563,-96.08939967934276","RUSSELL SPEEDER CAR WASH"
 "41.26343590267056,-96.09745682338362","RUSSELL SPEEDER CAR WASH"
 "41.22695682193756,-96.00567279841493","RZ'S POOP DECK"
 "41.25978207600701,-95.94965402920985","SALVATION ARMY"
 "41.260689999643944,-95.94059000012828","SALVATION ARMY"
 "41.19821448988114,-95.95283762919354","SALVATION ARMY / KROC CENTER"
 "41.27828630249482,-96.09830075432211","SAM & LOUIE'S NEW YORK PIZZA"
 "41.26323460914074,-96.03291579879506","SAM & LOUIE'S NEW YORK PIZZA"
 "41.26801008537273,-95.94746891714642","SAM & LOUIE'S NEW YORK PIZZA"
 "41.20385323900484,-96.19747120760377","SAM & LOUIE'S NEW YORK PIZZA"
 "41.28514181615319,-96.23433378524992","SAM & LOUIE'S NEW YORK PIZZA"
 "41.2550728764055,-96.15593129725465","SAM & LOUIE'S NEW YORK PIZZA"
 "41.21290166184489,-96.11438289870317","SAM'S CLUB"
 "41.31078262828862,-96.02380313052561","SARA LEE BAKERY OUTLET"
 "41.229154416997,-96.1383808984178","SARKU JAPAN"
 "41.264523028662666,-96.06701102755102","SBARRO'S AT WESTROADS"
 "41.260959695556615,-96.18375837151761","SCHEELS ALL SPORTS"
 "41.23375569647911,-96.1146535962073","SCHLOTZSKY'S DELI"
 "41.20646127288984,-96.19549269913927","SCOOTERS COFFEE HOUSE"
 "41.34300099702363,-95.98304004710015","SCOOTERS COFFEE HOUSE"
 "41.260978672786514,-96.17712121696076","SCOOTERS COFFEE HOUSE"
 "41.2688645749759,-96.23465127593126","SCOOTERS COFFEE HOUSE"
\"zip\":\"\"}"	 "41.25965617092294", "-95.93745922249252","SCOOTERS COFFEE HOUSE"
 "41.27929736404286,-96.05270734054733","SCOOTERS COFFEE HOUSE"
 "41.26801087257513,-95.93539977504543","SCOOTERS COFFEE HOUSE"
 "41.23789257781385,-96.01002551703675","SCOOTERS COFFEE HOUSE"
 "41.20628986441842,-96.0619591354432","SCOOTERS JAVA EXPRESS"
 "41.26090622854366,-96.18369359411486","SCOOTERS JAVA EXPRESS"
 "41.27757879550808,-96.09997718129543","SCOOTERS JAVA EXPRESS"
 "41.25960221160119,-96.02294877459781","SCOOTERS JAVA EXPRESS"
 "41.248438187155934,-96.15849315214034","SCOOTERS JAVA EXPRESS"
 "41.243815302569075,-96.01265057972066","SCOTT RESIDENCE HALL"
 "41.26624820139767,-96.08593728952997","SETTLE INN & SUITES"
 "41.33503734341883,-95.96805415792932","SEVEN OAKS LUNCH CLUB"
 "41.260689999643944,-95.94059000012828","SGT PEFFER'S"
 "41.24560079261773,-96.21024844989415","SHADOW RIDGE COUNTRY CLUB"
 "41.30762600796578,-96.07415617094614","SHAMROCKS PUB"
 "41.2351406524042,-96.19612222455982","SHERIDAN'S FROZEN CUSTARD"
 "41.28244092108602,-96.23703752676498","SHEVY'S SPORTS & STEAKS"
 "41.230554110054754,-96.043120567715","SHOPKO STORES #044"
 "41.31129183107944,-96.05277461174711","SHOPKO STORES #146"
 "41.23378267613998,-96.13960882823858","SHOPKO STORES #156"
\"zip\":\"\"}"	 "41.23306321851652", "-96.1785224924464","SHUCKS FISH HOUSE/OYSTER BAR"
 "41.25243547848646,-95.96449742923564","SIDE DOOR LOUNGE"
 "41.21466308979706,-96.04309358805409","SIEDLIK BAKERY"
 "41.22449267957728,-96.11992266901723","SKATE DAZE"
 "41.29760756055941,-95.96129125626896","SKINNER ELEMENTARY SCHOOL"
 "41.2978233978464,-96.02757128982836","SKYLINE RETIREMENT COMMUNITY"
 "41.25811833025284,-95.93718043266347","SLEEPLESS FROM SEATTLE"
\"zip\":\"\"}"	 "41.213447053140285", "-96.10658886300405","SMASHBURGER"
 "41.254369020849424,-96.02397773786905","SMASHBURGER"
 "41.241197739958146,-95.97576654860381","SMEJ'S SNACKS & MORE"
 "41.20400612374982,-96.08148564548492","SONIC DRIVE-IN"
 "41.29225659448508,-96.14152438416102","SONIC DRIVE-IN"
 "41.30871936755057,-95.9566403462503","SONIC DRIVE-IN"
 "41.23397153376612,-96.20629355671116","SONIC DRIVE-IN"
 "41.20620046950131,-96.15660601459234","SONIC DRIVE-IN"
 "41.25444096661181,-95.92961419412721","SOUL DESIRES"
 "41.21352095081983,-95.94704599532486","SOUTH HI SCH CAFETERIA"
 "41.20692892034509,-95.94420413771229","SOUTH OMAHA BOYS & GIRLS CLUB"
 "41.20203660850569,-95.94268428348278","SOUTH OMAHA SOKOL"
 "41.29360018636742,-95.9564987768952","SPAULDING BAR"
 "41.29310418874693,-96.12836417015895","SPEEDEE MART"
 "41.23165128293056,-96.10073113691192","SPEEDEE MART"
 "41.22998753717633,-96.02388406950826","SPEZIA"
 "41.24881034724956,-96.02945087286963","SPIRIT WORLD"
 "41.23403448630819,-95.92949122931293","SPRING INN BAR"
 "41.222011584520025,-95.93979668311796","SPRING LAKE GOLF COURSE"
 "41.293236855497014,-96.05251848292119","STACY'S WASH N SHINE"
 "41.234583072746034,-95.93333133437807","STADIUM BAR"
 "41.28828159111555,-95.95657880883545","STAGE II LOUNGE"
 "41.25810933703252,-95.9358224563992","STARBUCK'S COFFEE"
 "41.26203038108031,-96.09097349289402","STARBUCK'S COFFEE"
 "41.29206773685888,-96.14555334685224","STARBUCK'S COFFEE"
 "41.233989520206705,-96.10306937418812","STARBUCK'S COFFEE"
 "41.258630089324754,-96.02380733675574","STARBUCK'S COFFEE"
 "41.26475097892502,-96.15686479272944","STARBUCK'S COFFEE"
 "41.229154416997,-96.1383808984178","STARBUCK'S COFFEE"
 "41.23426841971755,-96.18673454069508","STARBUCK'S COFFEE"
 "41.24885617680985,-96.04827581883266","STARBUCK'S COFFEE"
 "41.20536464403338,-95.95596876581386","STEPHEN CENTER (THE)"
 "41.24678285511835,-95.92925653914543","ST FRANCES CABRINI"
 "41.208835172192906,-96.03568464466274","ST GERALD SCHOOL"
 "41.22982674982945,-96.02876624454773","ST JOAN OF ARC SCHOOL"
 "41.190750117037965,-95.99310926966564","ST NICHOLAS SERB ORTH CHURCH"
 "41.255502166606334,-95.93085090514495","STOKE'S GRILL & BAR"
 "41.26542293222148,-96.091062265147","STOKE'S GRILL & BAR"
 "41.26549355470112,-96.10049125675991","STOLIS LOUNGE"
 "41.314907465225446,-96.16423360986562","STONE CREEK GOLF COURSE"
 "41.30318583676645,-95.99157557282143","ST PAUL LUTHERAN CHURCH/SCH"
 "41.33441681121866,-95.96130924270955","ST PHILIP NERI SCHOOL"
 "41.27777750981335,-96.0200889305446","ST PIUS THE TENTH SCHOOL"
 "41.23260670594508,-96.08443609810918","STRIKE ZONE"
 "41.219726272822015,-96.03409137454082","STROKERS SPORTS BAR & GRILL"
 "41.21960036773788,-95.93334932081865","ST ROSE CHURCH BINGO"
 "41.21387168641127,-95.97443035111706","ST STANISLAUS SCHOOL"
 "41.288767225011384,-96.0539034388463","STU'S PLACE"
 "41.28771490207862,-96.13719928666087","ST VINCENT DE PAUL SCHOOL"
 "41.22751490437718,-96.13872709107814","SUBSOUTH INC"
 "41.24881034724956,-96.08112591667322","SUBWAY"
 "41.20534611357351,-96.13672200452453","SUBWAY"
 "41.264523028662666,-96.06701102755102","SUBWAY"
 "41.28388390639225,-96.05253646936177","SUBWAY"
\"zip\":\"\"}"	 "41.268949233908806", "-96.23523374131308","SUBWAY"
 "41.25569235177648,-96.17719158489125","SUBWAY"
 "41.25834316076015,-95.93718043266347","SUBWAY"
 "41.21124566608569,-96.08091907260643","SUBWAY"
 "41.2488013540293,-96.02898322541438","SUBWAY"
 "41.26490821157404,-96.0910184589955","SUBWAY"
 "41.299610455280586,-96.00373157307835","SUBWAY"
 "41.21252270336731,-95.99299235780182","SUBWAY"
 "41.28143297150266,-95.91063589970149","SUBWAY"
 "41.29220263516328,-96.18015026531941","SUBWAY"
 "41.293108835253435,-96.1286615465743","SUBWAY"
 "41.299631898584096,-95.95747741143485","SUBWAY"
 "41.23393283930065,-96.10367031600448","SUBWAY"
 "41.2650247029895,-95.99036700645927","SUBWAY"
 "41.292003920858065,-96.1609901876007","SUBWAY"
 "41.20529129079296,-96.06055968091394","SUBWAY"
 "41.241489865931044,-95.99051922222122","SUBWAY"
 "41.23121061513615,-96.04311157449467","SUBWAY/GOODRICH"
 "41.212270893199104,-95.94576895804323","SUBWAY/GOODRICH"
 "41.24446662184806,-96.02395601527058","SUBWAY/IN WALMART"
 "41.23314415749917,-96.19778597031399","SUBWAY/IN WALMART"
 "41.279804061689525,-96.02396713814873","SUBZI MUNDI"
 "41.29947815038031,-96.00246221877035","SUGAR HILL PKG LIQUOR #2"
 "41.25810933703252,-95.9358224563992","SULLIVAN'S STEAKHOUSE"
 "41.25965617092294,-95.93746821571284","SUMMIT (THE)"
 "41.277723550491544,-96.12219795375131","SUNRIDGE VILLAGE LLC"
 "41.2153271959316,-96.071823663457","SUNSPROUTS ENTERPRISES INC"
 "41.293317794479606,-96.11696389954079","SUPER TARGET"
 "41.23427730325608,-96.19406277711272","SUPER TARGET"
 "41.291132471335565,-96.18016361137231","SUPER TARGET T-2326"
 "41.28139278437112,-95.97086903588104","SUPER T'S"
 "41.389851021104676,-95.94563405973884","SURFSIDE CLUB"
 "41.23419636427343,-96.13716267231888","SUSHI JAPAN/YAK BOY"
 "41.25748640888501,-95.9331541690185","SUSIE'S BASKETS INC"
 "41.23593205578999,-96.13556187910672","SWEET CAKES AND ROSES"
 "41.2670343189712,-95.97285554571332","SWEET MAGNOLIA'S BAKE SHOP"
 "41.28499906570863,-96.00437777469273","SYDNEY (THE)"
 "41.22263108297665,-96.12859213337964","SYNERGY FINE WINES"
 "41.259638184482355,-95.97086004266072","TACO BELL"
 "41.305395689333125,-96.05233861851531","TACO BELL #18506"
 "41.23392807349746,-96.1016591470501","TACO BELL #18858"
 "41.23319321231675,-96.04317658890771","TACO BELL #19424"
 "41.259629191262036,-96.02219334409318","TACO BELL #1957"
 "41.20521121526912,-96.12779173677359","TACO BELL #21026"
 "41.212549683028215,-95.9864632798691","TACO BELL #21109"
 "41.23315315071943,-96.20229157368078","TACO BELL #21225"
 "41.29225659448508,-96.14211793670034","TACO BELL #21227"
 "41.290961570762875,-96.18312702123643","TACO BELL #22983"
 "41.23393556088496,-96.14227981466559","TACO BELL #2787"
 "41.28818266569232,-96.08146765904434","TACO BELL #2835"
 "41.22090438468041,-95.97585127992335","TACO BELL #2890"
 "41.328427326503515,-95.95819758848819","TACO BELL #3481"
 "41.318076129946235,-96.02397400171117","TACO BUENO"
 "41.26111824276031,-96.17712462110647","TACO JOHN'S"
 "41.284594370795446,-96.08146765904434","TACO JOHN'S"
 "41.21221364743454,-95.99823508976354","TACO JOHN'S"
 "41.206317381365125,-96.15499622815992","TACO JOHN'S"
 "41.25834316076015,-95.93718043266347","TACOS TOO"
 "41.26556567202627,-96.09105051010425","TAJ (THE)"
 "41.23238872699454,-96.04311157449467","TANGIER TEMPLE"
 "41.213413032176334,-96.10940959449471","TARGET STORES INC"
 "41.3193441740076,-96.02538593729719","TARGET STORES INC"
 "41.259629191262036,-96.02456755425055","TARGET STORES INC"
 "41.23267919506206,-96.08482197002076","TASTE"
 "41.23403448630819,-96.16008639084572","TASTE OF THAILAND"
 "41.27688168927217,-96.10057197589636","TAXI'S GRILLE & BAR"
 "41.292085723299465,-96.14215390958151","TCBY"
 "41.2596921438041,-96.0323197101431","TCBY/SUBWAY"
 "41.26796590647365,-95.9602390494947","TEACHER ADMIN CENTER"
 "41.26238925662752,-96.03703708180524","TEA SMITH (THE)"
 "41.254377150610935,-95.93161362930209","TED & WALLY'S ICE CREAM"
 "41.34007198576397,-95.96153318178585","TERRI'S KITCHEN"
 "41.26463841496525,-96.15696574340404","TEXAS ROADHOUSE"
 "41.265131931979646,-96.09093473797078","THAI PEPPER"
 "41.284936113166566,-96.08147665226466","THAI SPICE"
 "41.291159421609336,-95.95657880883545","TIME OUT FOODS"
 "41.26800318258563,-95.93593675267383","TIP TOP BALLROOM"
 "41.26385812309872,-96.13316486121614","TOAST OF THE TOWN GIFT BASKET"
 "41.28498107926799,-96.00329858825756","TOBACCO HUT #1"
 "41.28499906570863,-96.00759734755763","TODAY CAFÉ"
 "41.2577406150005,-95.96582383929666","TOMMY COLINAS KITCHEN"
 "41.205454032217006,-95.96297298846378","TORTILLERIA & TAQUERIA CHUVIDV"
 "41.321331675692306,-96.0637690015077","TOTAL LOGISTICS SOLUTIONS"
 "41.30676352227647,-96.08649021460599","TOUCH OF CLASS"
 "41.25762483429283,-95.93849784083822","TOWER 5 CAFÉ"
 "41.26202138785999,-96.08382388276112","TOWNE PLACE SUITES BY MARRIOTT"
 "41.22711869990286,-96.13650616723748","TOYS 'R' US"
 "41.24865659904577,-96.07342255362245","TRADER JOE'S #719"
 "41.292428240054974,-96.10766692441526","TRANQUILITY ICE PLEX"
 "41.22703776092021,-96.02311964578337","TRAVELODGE OMAHA"
 "41.260689999643944,-95.94059000012828","TREAT AMERICA @ ACI/THE BYTE"
 "41.26334339124304,-96.11172984533027","TREAT AMERICA @ AG PROCESSING"
 "41.229660210209296,-96.00487335156298","TREAT AMERICA CORPORATION"
 "41.25571714043457,-95.93718043266347","TREAT AMERICA @ ENERGY PLAZA (OPPD)"
 "41.261805550572944,-96.04920897785337","TREAT AMERICA @ LINCOLN FINANCIAL"
 "41.257542764154095,-95.93422166318703","TREAT AMERICA @ PETER KIEWIT CONFERENCE"
 "41.2577406150005,-95.96583283251692","TREAT AMERICA @ PETER KIEWIT PLAZA"
 "41.268034785003145,-96.09786648044124","TREAT AMERICA @ WEST CORPORATION"
 "41.25863993702984,-95.93349321234331","TREAT AMERICA @ WORLD HERALD"
 "41.22740648295223,-95.92942827677086","TREE TOPS RESTAURANT"
 "41.260689999643944,-95.94059000012828","TWISTED CORK BISTRO"
 "41.25544734382578,-95.92996786998845","TWISTED FORK GRILL & BAR"
 "41.254718892982055,-95.93053444286693","UPSTREAM BREWING COMPANY"
 "41.216119991484504,-95.95696551730805","US COLD STORAGE"
 "41.31759049605046,-95.93125390049033","US FOOD SERVICES"
 "41.207189106519365,-96.08149928948299","VALENTINO'S OF OMAHA INC"
 "41.23469998460985,-96.1195539469852","VALENTINO'S OF OMAHA INC"
 "41.28516094367387,-96.07001029639105","VALENTINO'S OF OMAHA INC"
 "41.20079554410523,-96.04391197110078","VALENTINO'S OF OMAHA INC"
 "41.20636507549097,-96.12958267390971","VALENTINO'S OF OMAHA INC"
 "41.21272954743404,-96.01745391699876","VALLEY SERVICES INC"
 "41.23934657803126,-95.93325101439446","VARIETY BULK VENDING SERVICE"
 "41.29536751251041,-96.15533844294211","VEGALOU ULTRA BAR"
 "41.31065313515499,-96.05177227923343","V F W POST #2503"
 "41.20575980170696,-96.12192815714252","V F W POST #8334"
 "41.229154416997,-96.1383808984178","VIC'S CORN POPPER"
 "41.22950824268186,-96.04536488394541","VIC'S CORN POPPER"
 "41.25771277188085,-95.97346835921962","VICTOR'S GYRO MEDITERRANEAN"
 "41.25273383517277,-96.18389288540499","VILLAGE AT PACIFIC SPRINGS THE"
 "41.25967415736352,-95.97918776465207","VILLAGE INN #0008"
 "41.228827411758516,-96.13762132655381","VILLAGE INN #719"
 "41.23627379816111,-96.19616719066124","VILLAGE INN #806"
 "41.26099616074657,-96.1859958585099","VILLAGE POINTE CINEMA"
 "41.23189226385608,-95.96047726315322","VILLA LOSOLE"
 "41.260689999643944,-95.94059000012828","VINCENZO'S RISTORANTE"
 "41.23665151341345,-96.0531300219011","VIP LOUNGE"
 "41.28505388848919,-96.00842436409579","WAITING ROOM (THE)"
 "41.315737892670086,-95.98710179850991","WAKONDA SCHOOL CAFETERIA"
 "41.20514826272705,-96.12058816731889","WALGREENS"
 "41.260689999643944,-95.94059000012828","WALGREENS"
 "41.24139962519724,-95.99217327151544","WALGREENS #04975"
 "41.306618767293,-96.08001975057715","WALGREENS #05059"
 "41.20688395424361,-96.15695675018378","WALGREENS #05360"
 "41.234861862575144,-96.1822816585289","WALGREENS #05966"
 "41.29368651651163,-96.15723554001283","WALGREENS #06802"
 "41.29958606902386,-95.97764093076165","WALGREENS #06936"
 "41.23008646259956,-95.94704599532486","WALGREENS #06962"
 "41.2339886567479,-96.1190859873528","WALGREENS #07272"
 "41.26308258785457,-96.05181701173831","WALGREENS #07563"
 "41.25825322855724,-96.19563659066398","WALGREENS #11203"
 "41.31330972319097,-96.02377615086476","WALGREENS #11205"
 "41.28680670298752,-96.00733654416916","WALGREENS #2855"
 "41.32465916720071,-95.95715437493419","WALGREENS #3202"
 "41.27777750981335,-96.05306706935903","WALGREENS #3620"
 "41.234160391392265,-96.05383149308392","WALGREENS #4443"
 "41.28144674369287,-95.9572443071371","WALGREENS #4772"
 "41.29220263516328,-96.18015026531941","WAL-MART SUPERCENTER"
 "41.212819479637005,-96.11370835379472","WAL-MART SUPERCENTER"
 "41.24446662184806,-96.02395601527058","WAL-MART SUPERCENTER"
 "41.315647960467174,-96.06641300827386","WAL-MART SUPERCENTER #1637"
 "41.23314415749917,-96.19778597031399","WAL-MART SUPERCENTER #3267"
 "41.21003158134613,-96.1530626857969","WALNUT GROVE RETIREMENT FAC"
 "41.285017052149215,-96.04539585244913","WAYSIDE TAVERN"
 "41.23707419476722,-95.94704599532486","WELCOME INN"
 "41.25965617092294,-95.97722724262815","WENDY'S"
 "41.212270893199104,-95.99804654760646","WENDY'S"
 "41.23429615315547,-96.09976183463893","WENDY'S"
 "41.2127655203152,-96.11244030973342","WENDY'S"
 "41.320231388238525,-96.04369157485374","WENNINGHOFF'S"
 "41.272569014258316,-96.0381323665954","WESTBOOK ELEM SCHOOL"
 "41.211587408456865,-96.1181240249586","WESTERN BOWL LLC"
 "41.250455346048845,-95.92918764234241","WESTERN HERITAGE MUSEUM"
 "41.292778201262024,-96.14365577737044","WEST MAPLE FANTASY'S"
 "41.24174167609925,-96.02542191017835","WESTMINSTER COURT"
 "41.22710312138398,-96.08146067621648","WESTSIDE COM CON CENTER"
 "41.260689999643944,-95.94059000012828","WESTSIDE MIDDLE SCHOOL"
 "41.260689999643944,-95.94059000012828","WHOLE FOODS MARKET"
 "41.20394016673573,-96.12520085083351","WHY NOT LOUNGE"
 "41.25794365038331,-96.07384251332766","WILLIAMS-SONOMA"
 "41.23301825241509,-96.10072214369166","WINCHELL'S DONUTS"
 "41.26705848861519,-96.06490115615055","WINERY/DELI AT THE WINERY"
 "41.25929638408231,-96.17801729944829","WINE STYLES"
 "41.24765022183175,-96.02234622883816","WINGSTOP"
 "41.27763361828863,-96.09963396403617","WINGSTOP"
 "41.24382704599897,-96.01508772245067","WOHLNERS AT MAMMEL HALL"
 "41.25971350701691,-95.9609855781375","WOHLNERS GROCERY AT MIDTOWN"
 "41.290369441632414,-96.1021388644723","WORKS (THE)"
 "41.206894629421186,-96.19155777300959","YOZONE FROZEN YOGURT"
 "41.20544590245555,-96.08288825593264","ZEMOG'S"
 "41.32295944856537,-96.07296906586743","ZESTO"
 "41.23401649986761,-96.11663115038999","ZIO'S PIZZERIA"
 "41.25539252104522,-95.93067458665084","ZIO'S PIZZERIA"
 "41.259769221282,-96.03606693462731","ZIO'S PIZZERIA"
 "41.290439963985875,-96.11843878766888","ZURLOS BISTRO ITALIANO"
